Submission No,Abstract Title,Primary Category Parent Category,Primary Category,Secondary Category Parent Category,Secondary Category,Speaker ID,First Name,Last Name,session
1148,Correlating fNIRS with Underlying Brain Regions in Infants in the First Two Years of Life,Novel Imaging Acquisition Methods,NIRS,Modeling and Analysis Methods,Methods Development,1537,Lin,Cai,Novel Imaging Acquisition Methods
2083,Cortical excitability changes non-linearly in dexmedetomidine sedation,"Perception, Attention and Motor Behavior","Sleep, Consciousness, Pain",Brain Stimulation,TMS,5050,Paolo,Cardone,"Sleep, Consciousness, Pain"
2212,Cortical morphology in autism: Findings from an adaptive approach to gyrification indexing,Disorders of the Nervous System,Disorders of the Nervous System - Neurodevelopmental/Early Life,Modeling and Analysis Methods,Other Methods,5634,Alisa,Zoltowski,Disorders of the Nervous System - Neurodevelopmental/Early Life
1780,Cortical thickness after pediatric mild traumatic brain injury: an ABCD-based retrospective study,Disorders of the Nervous System,Disorders of the Nervous System - Neurodevelopmental/Early Life,Novel Imaging Acquisition Methods,Anatomical MRI ,4004,Fanny,DÃ©geilh,Disorders of the Nervous System - Neurodevelopmental/Early Life
1730,Cortico-Subcortical Interactions in Overlapping Communities of Edge Functional Connectivity,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,1501,Evgeny,Chumin,Modeling and Analysis - Connectivity
1537,"Creating Layered Surfaces to Visualize with AFNI + SUMA, with applications to laminar fMRI",Neuroanatomy,Cortical Anatomy and Brain Mapping,Novel Imaging Acquisition Methods,Imaging Methods Other,2955,Salvatore,Torrisi,Software Demonstrations
1532,Curation of BIDS (CuBIDS): a sanity-preserving workflow for large BIDS datasets,Neuroinformatics and Data Sharing,Workflows,Neuroinformatics and Data Sharing,Informatics Other,2523,Matthew,Cieslak,Software Demonstrations
2143,DBS of subthalamic nucleus impairs proactive inhibitory control in Parkinson disease,Novel Imaging Acquisition Methods,EEG ,Higher Cognitive Functions,"Executive Function, Cognitive Control and Decision Making",5357,Fernando,Lopez-Sosa,Novel Imaging Acquisition Methods
1598,Decoding means and outcome during action observation: a multivariate fMRI study.,Motor Behavior,Mirror System,Motor Behavior,Visuo-Motor Functions,3196,Settimio,Ziccarelli,"Perception, Attention and Motor Behavior"
1741,Deep Learning for Automated Segmentation of Diffuse White Matter Abnormality in Very Preterm Infants,Modeling and Analysis Methods,Segmentation and Parcellation,Lifespan Development,"Early life, Adolescence, Aging",3825,Hailong,Li,Lifespan Development
1606,Deep Learning-Based Substantia Nigra Neuromelanin MRI Biomarker for Parkinsonâ€™s Disease Patients,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Modeling and Analysis Methods,Segmentation and Parcellation,3241,RAHUL,GAURAV,Disorders of the Nervous System - Neurodegenerative/Late Life
2643,Deep Linear Modeling of MultiBand MultiEcho fMRI Reveals Reproducible Hierarchical FC Networks -- Duplicate,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,Modeling and Analysis Methods,Modeling and Analysis - Multivariate approaches,7370,Wei,Zhang,Modeling and Analysis - Multivariate approaches
2564,Denoising with time-delayed regressors improves test-retest reliability of functional connectome,Modeling and Analysis Methods,Task-Independent and Resting-State Analysis,Modeling and Analysis Methods,Exploratory Modeling and Artifact Removal,7224,Timothy,Wanger,Modeling and Analysis - Activation
1624,Depressive symptoms and white matter structure in older adults with and without diabetes mellitus,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,Lifespan Development,Aging ,3308,Ruth,Kerkhoff,Disorders of the Nervous System - Psychiatric
1595,Development of selective stopping in middle childhood: qualitative and quantitative changes,Higher Cognitive Functions,"Executive Function, Cognitive Control and Decision Making",Neuroanatomy,Normal Development,4300,Irene,RincÃ³n-PÃ©rez,Higher Cognitive Functions
2451,Differences in Quasi-Periodic Patterns in Resting State fMRI in Alzheimerâ€™s Disease,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,6777,Harrison,Watters,Disorders of the Nervous System - Neurodegenerative/Late Life
2293,Diffusion MRI Correlates of MDS-UPDRS Motor Score,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,6074,Arun,Venkataraman,Disorders of the Nervous System - Neurodegenerative/Late Life
1773,Disease Progression Modelling and Subtyping in Parkinson's,Modeling and Analysis Methods,Classification and Predictive Modeling,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,3966,Zeena,Shawa,Disorders of the Nervous System - Neurodegenerative/Late Life
1996,Disrupted Functional Connectivity in Adolescent Social Phobia with and without ADHD Comorbidity,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,4730,Brian,Kim,Disorders of the Nervous System - Psychiatric
1099,Disrupted Resting-State Regional Homogeneity in Patients with Disorders of Consciousness,"Perception, Attention and Motor Behavior","Sleep, Consciousness, Pain",Novel Imaging Acquisition Methods,BOLD fMRI ,1324,Yituo,Wang,Software Demonstrations
1663,Distinct Phonemic vs Acoustic Representations of Dichotic Stimuli,Language,Speech Perception ,Modeling and Analysis Methods,Modeling and Analysis - Multivariate approaches,3496,Basil,Preisig,Language
2538,Dynamic brain organization underlying temporal summation of pain in fibromyalgia,"Perception, Attention and Motor Behavior",Perception: Pain and Visceral  ,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,4108,Joshua,Cheng,"Perception, Attention and Motor Behavior"
2620,Early protein energy malnutrition affects the sources of EEG rhythms: a 40-year longitudinal study,Novel Imaging Acquisition Methods,EEG ,Modeling and Analysis Methods,EEG/MEG Modeling and Analysis,5326,Maria L.,Bringas-Vega,Novel Imaging Acquisition Methods
1544,Edge community structure of functional MRI and meta-analytic activation,Neuroinformatics and Data Sharing,Brain Atlases,Neuroanatomy,Anatomy and Functional Systems,2974,Joshua,Faskowitz,Neuroinformatics and Data Sharing
2161,EEG functional connectivity features predict the activity of the fMRI default mode network,Novel Imaging Acquisition Methods,Multi-Modal Imaging  ,Modeling and Analysis Methods,Classification and Predictive Modeling,5392,Marta,Xavier,Novel Imaging Acquisition Methods
1878,EEG Microstates Distinguish Active and Quiet Sleep During the Neonatal Period,"Perception, Attention and Motor Behavior","Sleep, Consciousness, Pain",Modeling and Analysis Methods,EEG/MEG Modeling and Analysis,4370,Khadijeh,Raeisi,"Sleep, Consciousness, Pain"
2114,EEG slowing and cholinergic system integrity in mild cognitive impairment with Lewy bodies,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Novel Imaging Acquisition Methods,EEG ,5186,Julia,Schumacher,Disorders of the Nervous System - Neurodegenerative/Late Life
1451,Effects of age-related neuropathologies on the shape of subcortical structures,Lifespan Development,Aging ,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,1832,Nazanin,Makkinejad,Lifespan Development
2457,Effects of Anesthesia on Spatial Global Signal Distribution in Rat rs-fMRI,Modeling and Analysis Methods,Motion Correction and Preprocessing,Novel Imaging Acquisition Methods,BOLD fMRI ,6058,Nmachi,Anumba,Novel Imaging Acquisition Methods
2545,Effects of autonomous sensory meridian response on the fMRI functional connectivity,"Social Neuroscience, Emotion and Motivation",Emotional Perception,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,1978,Seonjin,Lee,"Social Neuroscience, Emotion and Motivation"
1418,Effects of bariatric surgery and weight loss on resting-state functional connectivity,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,Modeling and Analysis Methods,Task-Independent and Resting-State Analysis,2526,Hannah Sophie,Heinrichs,Modeling and Analysis - Connectivity
2332,Effects of motion on quasi-periodic patterns in the brains of anesthetized rats,Modeling and Analysis Methods,Motion Correction and Preprocessing,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,6254,Eric,Maltbie,Modeling and Analysis - Activation
1128,Effects of rTMS on treatment of cognitive deterioration in patients with MCI: a meta-analysis,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Brain Stimulation,TMS,1490,Ye,Xie,Software Demonstrations
2115,Efficient validation of dynamical whole-brain models via mathematical optimization algorithms,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,Modeling and Analysis Methods,Methods Development,4356,Kevin,Wischnewski,Modeling and Analysis - Activation
2330,Empirical Mode Decomposition tools in Python,Modeling and Analysis Methods,Methods Development,Modeling and Analysis Methods,Other Methods,5862,Andrew,Quinn,Software Demonstrations
2361,Energy metabolism of the brain during exercise: Effects of exercise on lactate and glucose metabolis,Novel Imaging Acquisition Methods,MR Spectroscopy,"Physiology, Metabolism and Neurotransmission","Physiology, Metabolism and Neurotransmission Other",6411,Faezeh,Sohrabi,Novel Imaging Acquisition Methods
1837,Evaluating and Integrating Physiological Signatures of Attention Reorienting in Virtual Reality,"Perception, Attention and Motor Behavior",Attention: Visual,Motor Behavior,Brain Machine Interface,4113,Pawan,Lapborisuth,"Perception, Attention and Motor Behavior"
2116,Evaluation of surrogate respiration signals derived from ECG acquired during simultaneous EEG-fMRI,Novel Imaging Acquisition Methods,Multi-Modal Imaging  ,Novel Imaging Acquisition Methods,BOLD fMRI ,5195,InÃªs,Esteves,Novel Imaging Acquisition Methods
1282,Evaluation of the Correctness of Non-biological Sensory Events by Human Motor Cortical Circuits,Higher Cognitive Functions,Higher Cognitive Functions Other,Motor Behavior,Visuo-Motor Functions,2094,Niloofar,Gharesi,Higher Cognitive Functions
2156,Evaluation of the validity of ALE meta-analytic contrasts,Modeling and Analysis Methods,Other Methods,Learning and Memory,Working Memory ,5407,Vincent,KÃ¼ppers,Learning and Memory
2218,Expertise During The Visual Analysis of Palaeolithic Abstract Engravings: an fMRI Study,"Perception, Attention and Motor Behavior",Perception: Visual,Higher Cognitive Functions,Decision Making,5072,Mathilde,Salagnon,"Perception, Attention and Motor Behavior"
1489,Exploring quantitative MRI contrast in posterior cortical atrophy using ex vivo imaging,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Neuroanatomy,Cortical Anatomy and Brain Mapping,1795,Luke,Edwards,Disorders of the Nervous System - Neurodegenerative/Late Life
1861,Exploring the Laminar Connectome,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,Modeling and Analysis Methods,Methods Development,2764,Ittai,Shamir,Modeling and Analysis - Connectivity
1876,Exploring the role of frontoparietal cortex in visual search by fMRI-TMS on early and later time,"Perception, Attention and Motor Behavior",Attention: Visual,Brain Stimulation,TMS,3933,Danmei,Zhang,"Perception, Attention and Motor Behavior"
2086,Face Processing Efficiency Is Related to Aberrant Prefrontal Connectivity in Adolescent Depression,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,4438,David,Willinger,Disorders of the Nervous System - Psychiatric
2319,Fantastic measures and how to repeat them: Tractography-based repeatability of microstructural MRI,Neuroanatomy,"White Matter Anatomy, Fiber Pathways and Connectivity",Novel Imaging Acquisition Methods,Diffusion MRI ,6261,Dmitri,Shastin,Neuroanatomy
1926,FMRI Decoding with Few Labeled Examples,Modeling and Analysis Methods,Classification and Predictive Modeling,Modeling and Analysis Methods,Modeling and Analysis - Multivariate approaches,4272,Myriam,Bontonou,Modeling and Analysis - Multivariate approaches
1617,From brain activation to semantic representations: a cumulative approach,Language,Language Comprehension and Semantics,Modeling and Analysis Methods,Classification and Predictive Modeling,3288,Gayane,Ghazaryan,Language
1174,Frontal regions associated with attention connect more strongly to central than peripheral V1,"Perception, Attention and Motor Behavior",Attention: Visual,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,1473,Sara,Sims,"Perception, Attention and Motor Behavior"
1468,Fronto-parietal network involvement in inhibitory control across the life span,Higher Cognitive Functions,"Executive Function, Cognitive Control and Decision Making",Lifespan Development,"Early life, Adolescence, Aging",2695,Jixin,Long,Higher Cognitive Functions
2311,Functional architecture of the aging brain,Lifespan Development,Aging ,Modeling and Analysis Methods,Task-Independent and Resting-State Analysis,5595,Roni,Setton,Lifespan Development
2392,Functional Connectivity Analyses in Childhood-Onset OCD Yield Negative Results,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,6592,Hallee,Shearer,Disorders of the Nervous System - Psychiatric
1298,Functional connectivity of the hippocampal subfields in an aging population,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,Lifespan Development,Aging ,2135,Laura,Ezama,Lifespan Development
1809,Functional connectome stability as a marker of cognitive performance,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,"Perception, Attention and Motor Behavior",Attention: Visual,2102,Anna,Corriveau,Modeling and Analysis - Connectivity
2113,Functional evidence for adjacent arrangement of domain-general and sensory-biased frontal regions,Higher Cognitive Functions,"Executive Function, Cognitive Control and Decision Making",Neuroanatomy,Cortical Anatomy and Brain Mapping,5161,Moataz,Assem,Higher Cognitive Functions
1388,Functional Mechanisms of Aging in S1 using Bayesian Population Receptive Field Mapping at 7T-MRI,Lifespan Development,Aging ,"Perception, Attention and Motor Behavior",Perception: Tactile/Somatosensory ,2415,Peng,Liu,Lifespan Development
1392,Generalization failure of RSFC-based behavioral prediction in non-European pediatric population,Modeling and Analysis Methods,Classification and Predictive Modeling,Modeling and Analysis Methods,Task-Independent and Resting-State Analysis,2305,Jingwei,Li,Modeling and Analysis - Multivariate approaches
2190,Generalizing open publishing infrastructure: Experiences with the Journal of Open Source Software,Neuroinformatics and Data Sharing,Informatics Other,Neuroinformatics and Data Sharing,Databasing and Data Sharing,3677,Elizabeth,DuPre,Neuroinformatics and Data Sharing
2242,Generative Models Linking Neural Local Field Potentials with fMRI in Rat Somatosensory Cortex,"Physiology, Metabolism and Neurotransmission",Cerebral Metabolism and Hemodynamics,"Physiology, Metabolism and Neurotransmission",Neurophysiology of Imaging Signals,5815,Lisa,Meyer-Baese,"Physiology, Metabolism and Neurotransmission"
2134,Harmonizing the variabilities in multi-center imaging study on cerebral small vessel diease,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Modeling and Analysis Methods,Other Methods,5314,Bonnie,Lam,Disorders of the Nervous System - Neurodegenerative/Late Life
1432,Hemispheric Differences in the Principal Gradient and Their Contribution to Cognition,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,Modeling and Analysis Methods,Task-Independent and Resting-State Analysis,2603,Tirso,Gonzalez Alam,Modeling and Analysis - Connectivity
1338,Heritability of MEG phenotypes among patients with genetic generalized epilepsy and their siblings,Disorders of the Nervous System,Disorders of the Nervous System - Neurodevelopmental/Early Life,Novel Imaging Acquisition Methods,MEG ,2282,Christina,Stier,Disorders of the Nervous System - Neurodevelopmental/Early Life
1467,Heterogeneity of amyloid accumulation is associated with cognitive decline,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Modeling and Analysis Methods,PET Modeling and Analysis,2687,Yuqing,Sun,Disorders of the Nervous System - Neurodegenerative/Late Life
2578,High-density tDCS stimulation targeting the dACC improves ambiguity resolving among schizophrenia,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,Brain Stimulation,TDCS   ,6890,Sai,Sun,Disorders of the Nervous System - Psychiatric
2065,Higher prefrontal-parietal entropy is associated with impulsivity and drug use risk in adolescence,Modeling and Analysis Methods,Methods Development,Lifespan Development,"Early life, Adolescence, Aging",4948,Donghui,Song,Lifespan Development
1254,High-resolution whole-brain Conductivity Tensor Imaging of the human brain,Modeling and Analysis Methods,Methods Development,Modeling and Analysis Methods,Diffusion MRI Modeling and Analysis,1968,Marco,Marino,Modeling and Analysis - Activation
2433,Hippocampal connectivity during acute psychosocial stress using interleaved resting state epochs,"Physiology, Metabolism and Neurotransmission","Physiology, Metabolism and Neurotransmission Other",Modeling and Analysis Methods,Modeling and Analysis - Connectivity,1713,Philipp,SÃ¤mann,"Physiology, Metabolism and Neurotransmission"
1138,Hippocampal Subfield Atrophy in relation with CSF biomarkers and cognitive decline in AD,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Higher Cognitive Functions,Higher Cognitive Functions Other,1512,Guodong,Liu,Disorders of the Nervous System - Neurodegenerative/Late Life
1290,Hippocampal volume varies with environmental toxin exposure,Neuroanatomy,Subcortical Structures,Lifespan Development,"Early life, Adolescence, Aging",2110,Kristen,Buford,Neuroanatomy
1433,Human thalamic activity and thalamocortical functional connectivity during the N-back task,Modeling and Analysis Methods,Modeling and Analysis - Activation,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,2559,Xitong,Chen,Modeling and Analysis - Activation
1651,IDConn: A Python pipeline for investigating individual differences in functional brain connectivity,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,Neuroinformatics and Data Sharing,Workflows,1137,Katherine,Bottenhorn,Neuroinformatics and Data Sharing
1826,Identifying tissue specific transcriptomic effects on brain volume measures from GWAS summary data,Genetics,Genetic Modeling and Analysis Methods,Genetics,Transcriptomics,4144,Hung,Mai,Genetics
2375,"IFOF, not the AF, asymmetry predicts functional lateralization for language",Language,Language Other,Novel Imaging Acquisition Methods,Diffusion MRI ,5780,Olga,Dragoy,Language
2468,Imagination and Memory: How the Brain Monitors Reality,Higher Cognitive Functions,Imagery  ,Modeling and Analysis Methods,Modeling and Analysis - Activation,6875,Thomas,Pietruszewski,Higher Cognitive Functions
2176,Impact of Early Resumption of Physical Activity on Cerebral Perfusion after a Pediatric Concussion,Lifespan Development,"Early life, Adolescence, Aging",Novel Imaging Acquisition Methods,Imaging Methods Other,3590,Katherine,Healey,Lifespan Development
1683,Implications of Early Physical Activity on Functional Connectivity After a Pediatric Concussion,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,"Physiology, Metabolism and Neurotransmission",Neurophysiology of Imaging Signals,3590,Katherine,Healey,"Physiology, Metabolism and Neurotransmission"
1648,Improvement of brain atrophy evaluation using optimized brain masking,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Neuroanatomy,Neuroanatomy Other,3424,Jessica,Lebenberg,Disorders of the Nervous System - Neurodegenerative/Late Life
2103,In vivo tractography of the human neonatal reward network and energy homeostasis pathways.,Neuroanatomy,"White Matter Anatomy, Fiber Pathways and Connectivity",Lifespan Development,Normal Brain Development: Fetus to Adolescence,5138,Julie,Nihouarn Sigurdardottir,Neuroanatomy
2075,Increased brain-heart coherence and brain connectivity during mindfulness-based stress reduction,Higher Cognitive Functions,Imagery  ,"Social Neuroscience, Emotion and Motivation",Self Processes,4817,Junling,GAO,Higher Cognitive Functions
2507,Increased brain-heart connectivity during compassion meditation,"Social Neuroscience, Emotion and Motivation",Emotional Perception,Higher Cognitive Functions,Higher Cognitive Functions Other,7076,Hang Kin,Leung,"Social Neuroscience, Emotion and Motivation"
1980,Increased functional activity and altered effective connectivity during sensory learning in autism,Disorders of the Nervous System,Disorders of the Nervous System - Neurodevelopmental/Early Life,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,4692,Roshini,Randeniya,Disorders of the Nervous System - Neurodevelopmental/Early Life
1359,Individual Differences of Neural Mechanisms in Language Comprehension,Language,Language Comprehension and Semantics,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,2337,Xin,Liu,Language
1693,Individualized prediction of future cognition using baseline developmental cortical changes,Lifespan Development,Normal Brain Development: Fetus to Adolescence,Modeling and Analysis Methods,Methods Development,3630,Budhachandra,Khundrakpam,Lifespan Development
2351,Interpreting brain dynamics via deep learning,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,2341,Md Mahfuzur,Rahman,Disorders of the Nervous System - Psychiatric
2437,Intra-individual structural covariance networks in Anorexia Nervosa: a longitudinal investigation,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,6713,Francesco,Alberti,Disorders of the Nervous System - Psychiatric
1620,Investigating the long-lasting impact of motherhood on white matter in the human brain,Neuroanatomy,"White Matter Anatomy, Fiber Pathways and Connectivity",Lifespan Development,Aging ,1066,Jenna,Hanmer,Neuroanatomy
1976,Is it the left one or the right one? Investigating hemispheric asymmetries via classification.,Neuroanatomy,Anatomy and Functional Systems,Modeling and Analysis Methods,Classification and Predictive Modeling,4275,Patrick,Friedrich,Neuroanatomy
2574,Ischemic stroke alters temporal dynamics of brain states identified with k-means clustering,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,Modeling and Analysis Methods,Modeling and Analysis - Activation,7329,Georgia,Russello,Modeling and Analysis - Connectivity
1112,Issues of Reproducibility in a Commonly Used Approach for Independent Components Analysis in fMRI,Modeling and Analysis Methods,Modeling and Analysis - Multivariate approaches,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,1410,John,Van Horn,Modeling and Analysis - Multivariate approaches
1291,Language network hyperconnectivity in MEG: marker of resiliency in extremely preterm children?,Language,Language Other,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,2118,Maria,Barnes-Davis,Language
1863,Latent space representation of Task-fMRI using 3d-Autoencoder in a large study: HCP and UK-biobank,Modeling and Analysis Methods,Methods Development,Modeling and Analysis Methods,Other Methods,4271,Mariam,Zabihi,Modeling and Analysis - Activation
1267,Lateralization of human brain connectivity: a consequence of simple brain scaling principles?,Neuroanatomy,"White Matter Anatomy, Fiber Pathways and Connectivity",Modeling and Analysis Methods,Modeling and Analysis - Connectivity,1546,Dirk Jan,Ardesch,Neuroanatomy
2057,Leveling up: How broader levels of inference improve power in functional connectivity,Modeling and Analysis Methods,Methods Development,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,1282,Stephanie,Noble,Modeling and Analysis - Activation
2554,Linear mixed model augmented PCA reveal ongoing thought pattern associated with large scale gradient,Modeling and Analysis Methods,Modeling and Analysis - Multivariate approaches,Modeling and Analysis Methods,Methods Development,6813,Hao-Ting,Wang,Modeling and Analysis - Multivariate approaches
1987,Linking genetics to Alzheimerâ€™s disease via human brain mapping,Genetics,Genetic Modeling and Analysis Methods,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,4702,Mansu,Kim,Genetics
1948,Linking structural and functional brain organisation with behaviour in autism,Disorders of the Nervous System,Disorders of the Nervous System - Neurodevelopmental/Early Life,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,4616,Natalie,Forde,Disorders of the Nervous System - Neurodevelopmental/Early Life
2085,Linking structural and functional imaging modalities to characterize atypical face processing in ASD,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,Novel Imaging Acquisition Methods,Multi-Modal Imaging  ,4541,Dorothea,Floris,Disorders of the Nervous System - Psychiatric
2625,Macromolecule suppressed GABA levels show no relationship with age in youth,Novel Imaging Acquisition Methods,MR Spectroscopy,Lifespan Development,"Early life, Adolescence, Aging",3523,Tiffany,Bell,Novel Imaging Acquisition Methods
2569,Mapping autistic symptoms in the brain connectome of children with autism and ADHD,Disorders of the Nervous System,Disorders of the Nervous System - Neurodevelopmental/Early Life,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,7232,Patricia,Segura,Disorders of the Nervous System - Neurodevelopmental/Early Life
2317,Mapping Cortical Networks in Parkinson Disease using High-Density Diffuse Optical Tomography,Novel Imaging Acquisition Methods,NIRS,Brain Stimulation,Deep Brain Stimulation   ,6224,Arefeh,Sherafati,Novel Imaging Acquisition Methods
2027,Mapping Thalamocortical Functional Connectivity with Large-scale Brain Networks in Psychosis,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,Modeling and Analysis Methods,Task-Independent and Resting-State Analysis,4848,Yoo Bin,Kwak,Disorders of the Nervous System - Psychiatric
1918,Mapping the natural frequencies of the human brain,Modeling and Analysis Methods,EEG/MEG Modeling and Analysis,Modeling and Analysis Methods,Task-Independent and Resting-State Analysis,4500,Almudena,Capilla,Modeling and Analysis - Activation
1914,Measuring Time-varying Connectivity using Tapered Windowed Phase Synchronization,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,Modeling and Analysis Methods,Exploratory Modeling and Artifact Removal,1964,Hamed,Honari,Modeling and Analysis - Connectivity
1300,Mental health is associated with abnormal time-varying functional connectivity for cognitive ability,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,1822,Wei,Zhang,Disorders of the Nervous System - Psychiatric
1743,Meta-analytic connectivity modelling in adults with Autism Spectrum Disorders,Disorders of the Nervous System,Disorders of the Nervous System - Neurodevelopmental/Early Life,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,4732,Alicia,Goodwill,Disorders of the Nervous System - Neurodevelopmental/Early Life
2568,"Microvascular Changes in Psychotic Spectrum Disorders Relate to Cognition, Duration and Metabolites",Modeling and Analysis Methods,Diffusion MRI Modeling and Analysis,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,7290,Faye,McKenna,Disorders of the Nervous System - Psychiatric
2079,Midcingulo-insular connectivity decreases in subjective cognitive decline,Lifespan Development,Aging ,Modeling and Analysis Methods,Task-Independent and Resting-State Analysis,5035,Adriana,Ruiz-Rizzo,Lifespan Development
1838,Mobile Footprinting: Identifying Individuals Using Naturalistic Mobility Patterns,Motor Behavior,Motor Behavior Other,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,3403,Cedric Huchuan,Xia,"Perception, Attention and Motor Behavior"
1900,Modeling and verification of brain network based on timed automata in autism spectrum disorder,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,Modeling and Analysis Methods,Classification and Predictive Modeling,4439,Wenwen,zhuang,Modeling and Analysis - Multivariate approaches
1724,Modifying effect of sociodemographics on prefrontal cortex and lifetime depression in 9-10 year-olds,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,Lifespan Development,"Early life, Adolescence, Aging",1533,Claire,Campbell,Disorders of the Nervous System - Psychiatric
1417,Modulation of Peak Alpha Frequency during Working Memory is greater in Females than Males,Modeling and Analysis Methods,EEG/MEG Modeling and Analysis,Learning and Memory,Working Memory ,1863,Tara,Ghazi,Learning and Memory
2105,Modulations of insular oscillations exerted by sustained painful and non-painful thermal stimuli,"Perception, Attention and Motor Behavior",Perception: Pain and Visceral  ,"Perception, Attention and Motor Behavior",Perception: Tactile/Somatosensory ,1452,Giulia,Liberati,"Perception, Attention and Motor Behavior"
1464,MRI texture analysis for the prediction of survival in amyotrophic lateral sclerosis,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Novel Imaging Acquisition Methods,Anatomical MRI ,2685,Daniel,Ta,Disorders of the Nervous System - Neurodegenerative/Late Life
1582,Multimodal fusion based parcellation of the human thalamus,Neuroanatomy,Subcortical Structures,Modeling and Analysis Methods,Segmentation and Parcellation,1771,Gang,Li,Neuroanatomy
2279,"Multimodal, multilayer brain network topology correlates of healthy aging and executive functioning",Modeling and Analysis Methods,Other Methods,Higher Cognitive Functions,"Executive Function, Cognitive Control and Decision Making",3264,Lucas,Breedt,Higher Cognitive Functions
2412,Multiple ways to process multi-echo FMRI data with AFNI,Modeling and Analysis Methods,Methods Development,Modeling and Analysis Methods,Motion Correction and Preprocessing,6637,Paul,Taylor,Software Demonstrations
1644,Multi-scale Structural Imaging of Alzheimer's Disease Neurodegeneration,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Modeling and Analysis Methods,Classification and Predictive Modeling,3388,Ikbeom,Jang,Disorders of the Nervous System - Neurodegenerative/Late Life
1998,Multi-Site Prediction of Sex from Functional Connectomes,Modeling and Analysis Methods,Classification and Predictive Modeling,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,4396,Matthew,Rosenblatt,Modeling and Analysis - Multivariate approaches
